area,bedrooms,bathrooms,location,price
901,4,3,Bengaluru,7420555
886,4,1,Vizag,4762673
3810,4,3,Chennai,15756379
4278,3,3,Hyderabad,18636266
4017,4,2,Mumbai,26680027
2527,2,1,Bengaluru,11268535
4362,5,2,Chennai,17722315
3652,2,1,Mumbai,21975574
3550,4,4,Vizag,14034312
2740,1,3,Vizag,9723612
4651,4,2,Mumbai,29413838
4574,2,1,Bengaluru,20079781
2583,1,3,Bengaluru,11648547
3040,4,4,Bengaluru,16233479
3955,5,2,Mumbai,27015579
4541,2,1,Chennai,16507060
4247,1,4,Vizag,14545379
4011,4,2,Chennai,15967662
3000,3,3,Bengaluru,14718060
1604,1,2,Chennai,6660623
4347,3,1,Chennai,16391524
3044,3,1,Bengaluru,14493468
3212,1,2,Bengaluru,14256165
1744,3,4,Mumbai,13873084
4197,1,4,Hyderabad,17210262
2454,4,1,Bengaluru,12610384
4982,4,2,Bengaluru,23070274
1945,1,2,Vizag,6868816
3971,4,3,Bengaluru,19030919
4552,3,4,Vizag,16538587
2730,3,1,Hyderabad,11861137
3576,4,3,Hyderabad,15761963
2041,1,2,Mumbai,13131341
2727,4,2,Hyderabad,13357409
1685,4,2,Chennai,8223962
3816,2,1,Vizag,12639950
1074,3,3,Hyderabad,6819670
4138,3,3,Vizag,14278452
587,4,2,Chennai,4832001
1889,4,1,Bengaluru,10295124
3329,1,4,Bengaluru,15276661
1307,3,1,Hyderabad,6926450
3549,1,1,Bengaluru,14643095
1849,5,4,Bengaluru,11607368
3256,3,2,Vizag,11431612
2381,3,2,Chennai,10380337
1741,3,3,Bengaluru,10012569
1224,3,3,Bengaluru,7946430
4791,2,3,Bengaluru,20831179
1780,1,2,Mumbai,11637513
2942,1,2,Bengaluru,12363556
3496,4,1,Hyderabad,15453283
3786,4,4,Chennai,16407235
3265,5,4,Hyderabad,15803272
1135,3,3,Hyderabad,6822956
2570,5,4,Hyderabad,14010877
3356,2,3,Bengaluru,15542545
4961,5,1,Vizag,17481863
1844,3,4,Mumbai,14881533
909,4,4,Mumbai,10636957
1021,3,2,Hyderabad,6229580
2010,4,2,Hyderabad,10467005
3814,4,2,Hyderabad,16334580
4764,2,1,Vizag,16263885
4513,1,3,Vizag,15484813
3739,5,1,Vizag,13703465
4991,4,2,Mumbai,31627350
2451,1,4,Vizag,9371548
1756,1,1,Chennai,6332688
1834,3,4,Chennai,8747291
2376,1,4,Mumbai,16254251
879,4,4,Vizag,5764375
4879,2,1,Bengaluru,20996818
1911,5,3,Hyderabad,10768919
2746,1,3,Bengaluru,12584709
4283,1,3,Vizag,14330301
529,5,1,Bengaluru,5575113
3822,5,2,Bengaluru,18656162
4311,1,3,Vizag,14071751
1627,4,2,Hyderabad,8940693
3943,4,4,Mumbai,28547539
1804,3,1,Hyderabad,8897559
